DS_CIDADE;DS_SETOR;DS_DESTINACAO_IMOVEL;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL;PAGTO_A_VISTA
JARDIM BOTÂNICO;COMP. URB. ALDEIAS DO CERRADO - QR 04 - RESIDENCIAL SUCUPIRAS;HABITACAO UNIFAMILIAR;2026;3;22;317000;5;319000.0;420.0;420.0;420.0;1;VAGO;2000.0;0.6309148264984227;0
SAO SEBASTIAO;SETOR HABITACIONAL JARDIM BOTANICO;UOS RO  1 - RESIDENCIAL OBRIGATÓRIO, NA CATEGORIA HABITAÇÃO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÃO RESIDENCIAL COM ATIVIDADE ECONÔMICA REALIZADA NO ÂMBITO DOMÉSTICO, NÃO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;23;705000;5;865000.0;1350.0;1350.0;900.0;7;VAGO;160000.0;22.69503546099291;0
PLANALTINA;SETOR RESIDENCIAL LESTE (SRL);UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;24;51000;5;65100.0;120.0;120.0;60.0;1;VAGO;14100.0;27.647058823529413;0
RECANTO DAS EMAS;RECANTO DAS EMAS;UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;27;139000;5;155397.25;300.0;270.0;150.0;2;VAGO;16397.25;11.796582733812949;0
RECANTO DAS EMAS;RECANTO DAS EMAS;UOS CSIIR 1 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;28;139000;5;139100.0;300.0;270.0;150.0;1;VAGO;100.0;0.07194244604316546;0
RECANTO DAS EMAS;RECANTO DAS EMAS;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;39;146000;5;147800.0;345.0;270.0;150.0;1;VAGO;1800.0;1.2328767123287672;0
RECANTO DAS EMAS;RECANTO DAS EMAS;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;40;146000;5;160000.0;345.0;270.0;150.0;2;VAGO;14000.0;9.58904109589041;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;46;150000;5;158560.0;273.0;127.4;91.0;1;VAGO;8560.0;5.706666666666667;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;50;169000;5;190970.7;315.0;147.0;105.0;1;VAGO;21970.70000000001;13.000414201183439;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;51;322000;5;367080.8;675.0;315.0;225.0;1;VAGO;45080.79999999999;14.000248447204966;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;52;169000;5;184210.7;315.0;147.0;105.0;1;VAGO;15210.700000000012;9.000414201183439;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;53;150000;5;152000.0;273.0;127.4;91.0;1;VAGO;2000.0;1.3333333333333335;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;54;150000;5;223660.0;273.0;127.4;91.0;2;VAGO;73660.0;49.10666666666666;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;55;150000;5;191000.0;273.0;127.4;91.0;1;VAGO;41000.0;27.333333333333332;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;68;258000;5;262999.99;400.0;280.0;200.0;1;VAGO;4999.989999999991;1.9379806201550351;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;69;258000;5;259200.0;400.0;280.0;200.0;1;VAGO;1200.0;0.46511627906976744;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;70;258000;5;260777.0;400.0;280.0;200.0;1;VAGO;2777.0;1.0763565891472868;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;71;258000;5;260200.0;400.0;280.0;200.0;1;VAGO;2200.0;0.8527131782945736;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;72;258000;5;260059.0;400.0;280.0;200.0;1;VAGO;2059.0;0.798062015503876;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;73;258000;5;260200.0;400.0;280.0;200.0;1;VAGO;2200.0;0.8527131782945736;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;74;258000;5;259200.0;400.0;280.0;200.0;1;VAGO;1200.0;0.46511627906976744;0
RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;UOS CSIINDR - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÃO, OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÊNCIA DE USO NÃO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;76;258000;5;259100.0;400.0;280.0;200.0;1;VAGO;1100.0;0.4263565891472868;0
SAMAMBAIA;CENTRO URBANO;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;78;470000;5;521000.0;720.0;480.0;240.0;2;VAGO;51000.0;10.851063829787234;0
SAMAMBAIA;QS-SAMAMBAIA;UOS CSIIR 2 - COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÓRIOS OS USOS COMERCIAL, PRESTAÇÃO DE SERVIÇOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÃO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÃO OCORRA VOLTADO PARA O LOGRADOURO PÚBLICO NO NÍVEL DE CIRCULAÇÃO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);2026;3;79;189000;5;240300.0;539.0;308.0;154.0;3;VAGO;51300.0;27.142857142857142;0
